rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
491,16,"Karbi Anglong","Assam","AS","Diphu",965280,10434,93,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
492,16,"Kurukshetra","Haryana","HR","Kurukshetra",964231,1530,630,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
493,21,"Nayagarh","Odisha","OD","Nayagarh",962215,3890,247,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
494,22,"Rayagada","Odisha","OD","Rayagada",961959,7584,136,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
495,28,"Morbi","Gujarat","GJ","Morbi",960329,4871,197,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
496,36,"Kotputli-Behror","Rajasthan","RJ","Kotputli",960000,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
497,17,"Morigaon","Assam","AS","Marigaon",957853,1704,562,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
498,17,"Jhajjar","Haryana","HR","Jhajjar",956907,1868,522,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
499,4,"Nainital","Uttarakhand","UK","Nainital",955128,3853,225,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
500,26,"Alluri Sitharama Raju","Andhra Pradesh","AP","Paderu",954000,12251,77,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
501,27,"Polavaram","Andhra Pradesh","AP","Rampachodavaram",954000,12253,77,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
502,18,"Baksa","Assam","AS","Mushalpur",953773,2008,475,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
503,1,"Puducherry","Puducherry","PY","Pondicherry",950289,293,3232,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
504,17,"Ramgarh","Jharkhand","JH","Ramgarh",949159,1341,708,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
505,18,"Fatehabad","Haryana","HR","Fatehabad",941522,2538,371,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
506,19,"Hojai","Assam","AS","Sankardev Nagar",931218,1686,550,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
507,28,"Parvathipuram Manyam","Andhra Pradesh","AP","Parvathipuram",925300,3659,252,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
508,19,"Mahendragarh","Haryana","HR","Narnaul",921680,1900,485,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
509,35,"Mayiladuthurai","Tamil Nadu","TN","Mayiladuthurai",918356,1172,784,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
510,1,"West Tripura","Tripura","TR","Agartala",917534,942,973,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
511,20,"Darrang","Assam","AS","Mangaldoi",908090,1849,491,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
512,14,"Sri Muktsar Sahib","Punjab","PB","Sri Muktsar Sahib",902702,2596,348,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
513,18,"Pakur","Jharkhand","JH","Pakur",899200,1805,498,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
514,20,"Rewari","Haryana","HR","Rewari",896129,1559,562,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
515,16,"Nagarkurnool","Telangana","TG","Nagarkurnool",893308,6545,124,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
516,8,"North Delhi","Delhi","DL","Sadar Bazaar",887978,59,14557,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
517,21,"Kokrajhar","Assam","AS","Kokrajhar",886999,3129,283,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
518,17,"Vikarabad","Telangana","TG","Vikarabad",881250,3385,274,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
519,75,"Mahoba","Uttar Pradesh","UP","Mahoba",876055,2847,288,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
520,5,"Kupwara","Jammu and Kashmir","JK","Kupwara",875564,2379,368,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
521,37,"Pratapgarh","Rajasthan","RJ","Pratapgarh",867848,4112,211,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
522,41,"Maihar","Madhya Pradesh","MP","Maihar",856028,2723,314,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
523,10,"Jashpur","Chhattisgarh","CG","Jashpur Nagar",852043,5825,146,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
524,38,"Beawar","Rajasthan","RJ","Beawar",852000,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
525,36,"Sindhudurg","Maharashtra","MH","Oros",848868,5207,163,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
526,42,"Ashoknagar","Madhya Pradesh","MP","Ashoknagar",844979,4674,181,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
527,11,"Surguja","Chhattisgarh","CG","Ambikapur",839661,3265,150,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
528,12,"Bastar","Chhattisgarh","CG","Jagdalpur",834873,4030,210,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
529,22,"Udalguri","Assam","AS","Udalguri",832769,1676,497,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
530,13,"Balod","Chhattisgarh","CG","Balod",826165,3527,234,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
531,43,"Neemuch","Madhya Pradesh","MP","Neemuch",825958,4267,194,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
532,1,"East Khasi Hills","Meghalaya","ML","Shillong",824059,2752,292,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
533,1,"North Goa","Goa","GA","Panaji",817761,1736,471,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
534,15,"Kapurthala","Punjab","PB","Kapurthala",817668,1646,501,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
535,14,"Wayanad","Kerala","KL","Kalpetta",816558,2130,383,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
536,3,"Shimla","Himachal Pradesh","HP","Shimla",813384,5131,159,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
537,18,"Mancherial","Telangana","TG","Mancherial",807037,4056,201,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
538,29,"Tapi","Gujarat","GJ","Vyara",806489,3435,249,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
539,14,"Dhamtari","Chhattisgarh","CG","Dhamtari",799199,2029,394,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
540,15,"Bemetara","Chhattisgarh","CG","Bemetara",795759,2855,270,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
541,19,"Peddapalli","Telangana","TG","Peddapalli",795332,4614,356,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
542,19,"Jamtara","Jharkhand","JH","Jamtara",790207,1802,439,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
543,16,"Surajpur","Chhattisgarh","CG","Surajpur",789043,2787,280,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
544,44,"Datia","Madhya Pradesh","MP","Datia",786375,2694,292,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
545,20,"Mahabubabad","Telangana","TG","Mahabubabad",770170,2876,269,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
546,23,"Nalbari","Assam","AS","Nalbari",769919,1009,763,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
547,16,"Mansa","Punjab","PB","Mansa",768808,2174,350,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
548,21,"Medak","Telangana","TG","Medak",767428,2740,275,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
549,45,"Burhanpur","Madhya Pradesh","MP","Burhanpur",756993,3427,221,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
550,30,"Devbhumi Dwarka","Gujarat","GJ","Khambhalia",752484,5684,132,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
551,36,"Ariyalur","Tamil Nadu","TN","Ariyalur",752481,3208,387,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
552,22,"Wanaparthy","Telangana","TG","Wanaparthy",751553,2938,268,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
553,39,"Phalodi","Rajasthan","RJ","Phalodi",750000,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
554,46,"Anuppur","Madhya Pradesh","MP","Anuppur",749521,3747,200,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
555,17,"Kanker","Chhattisgarh","CG","Kanker",748593,6513,115,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
556,6,"Budgam","Jammu and Kashmir","JK","Budgam",735753,1406,537,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
557,37,"Nilgiris","Tamil Nadu","TN","Ooty",735071,2549,288,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
558,24,"Bongaigaon","Assam","AS","Bongaigaon",732639,1724,425,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
559,23,"Kandhamal","Odisha","OD","Phulbani",731952,8021,91,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
560,18,"Balrampur-Ramanujganj","Chhattisgarh","CG","Balrampur",730491,3806,190,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
561,47,"Alirajpur","Madhya Pradesh","MP","Alirajpur",728677,3182,229,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
562,23,"Yadadri Bhuvanagiri","Telangana","TG","Bhongir",726465,3091,239,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
563,20,"Latehar","Jharkhand","JH","Latehar",725673,3630,200,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
564,24,"Warangal","Telangana","TG","Warangal",716457,2175,330,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
565,21,"Koderma","Jharkhand","JH","Koderma",716259,2540,282,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
566,25,"Jayashankar Bhupalpally","Telangana","TG","Bhupalpally",712257,6361,115,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
567,26,"Nirmal","Telangana","TG","Nirmal",709415,3562,185,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
568,27,"Adilabad","Telangana","TG","Adilabad",708952,4185,171,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
569,48,"Dindori","Madhya Pradesh","MP","Dindori",704218,7427,94,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
570,19,"Mungeli","Chhattisgarh","CG","Mungeli",701707,2750,255,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
571,36,"Arwal","Bihar","BR","Arwal",700843,638,1098,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
572,25,"Dhemaji","Assam","AS","Dhemaji",688077,3237,213,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
573,49,"Sheopur","Madhya Pradesh","MP","Sheopur",687952,6585,104,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
574,5,"Pauri Garhwal","Uttarakhand","UK","Pauri",686527,5438,129,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
575,17,"Rupnagar","Punjab","PB","Rupnagar",683349,1400,488,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
576,40,"Jaisalmer","Rajasthan","RJ","Jaisalmer",672008,38401,17,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
577,28,"Jogulamba Gadwal","Telangana","TG","Gadwal",664971,2928,208,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
578,26,"Hailakandi","Assam","AS","Hailakandi",659260,1327,497,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
579,20,"Korea","Chhattisgarh","CG","Baikunthpur",659039,6578,100,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
580,37,"Sheohar","Bihar","BR","Sheohar",656916,443,1882,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
581,31,"Botad","Gujarat","GJ","Botad",656005,2564,256,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
582,21,"Sakti","Chhattisgarh","CG","Sakti",653036,1601,408,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
583,24,"Subarnapur","Odisha","OD","Subarnapur",652107,2284,279,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
584,50,"Umaria","Madhya Pradesh","MP","Umaria",643579,4062,158,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
585,2,"West Garo Hills","Meghalaya","ML","Tura",642923,3714,173,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
586,2,"South Goa","Goa","GA","Margao",639962,1966,326,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
587,38,"Sheikhpura","Bihar","BR","Sheikhpura",634927,689,922,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
588,18,"Pathankot","Punjab","PB","Pathankot",626154,929,674,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
589,6,"Almora","Uttarakhand","UK","Almora",621927,3090,198,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
590,7,"Rajouri","Jammu and Kashmir","JK","Rajouri",619266,2630,235,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
591,19,"Faridkot","Punjab","PB","Faridkot",618008,1472,424,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
592,51,"Mauganj","Madhya Pradesh","MP","Mauganj",616645,1867,330,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
593,7,"Tehri Garhwal","Uttarakhand","UK","New Tehri",616409,4085,169,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
594,8,"Kathua","Jammu and Kashmir","JK","Kathua",615711,2651,232,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
595,20,"Shahid Bhagat Singh Nagar","Punjab","PB","Nawanshahr",614362,1283,479,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
596,25,"Malkangiri","Odisha","OD","Malkangiri",612727,5791,106,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
597,27,"Biswanath","Assam","AS","Biswanath Chariali",612491,1415,430,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
598,22,"Sarangarh-Bilaigarh","Chhattisgarh","CG","Sarangarh",607434,1650,368,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
599,26,"Nuapada","Odisha","OD","Nuapada",606490,3408,157,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
600,21,"Fatehgarh Sahib","Punjab","PB","Fatehgarh Sahib",599814,1180,508,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
601,22,"Simdega","Jharkhand","JH","Simdega",599813,3750,160,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
602,23,"Gariaband","Chhattisgarh","CG","Gariaband",597653,5823,103,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
603,22,"Barnala","Punjab","PB","Barnala",596294,1423,419,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
604,32,"Narmada","Gujarat","GJ","Rajpipla",590379,2749,214,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
605,33,"Porbandar","Gujarat","GJ","Porbandar",586062,2294,255,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
606,24,"Kabirdham","Chhattisgarh","CG","Kawardha",584667,4237,195,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
607,29,"Jangaon","Telangana","TG","Jangaon",582457,2187,259,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
608,9,"Central Delhi","Delhi","DL","Daryaganj",582320,25,27730,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
609,27,"Jharsuguda","Odisha","OD","Jharsuguda",579499,2081,274,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
610,25,"Kondagaon","Chhattisgarh","CG","Kondagaon",578326,7768,74,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
611,4,"Solan","Himachal Pradesh","HP","Solan",576670,1936,298,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
612,28,"Gajapati","Odisha","OD","Paralakhemundi",575880,3850,133,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
613,52,"Agar Malwa","Madhya Pradesh","MP","Agar",571275,2785,205,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
614,41,"Salumbar","Rajasthan","RJ","Salumbar",570775,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
615,53,"Harda","Madhya Pradesh","MP","Harda",570302,3339,171,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
616,9,"Pulwama","Jammu and Kashmir","JK","Pulwama",570060,1398,598,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
617,30,"Narayanpet","Telangana","TG","Narayanpet",566874,2336,243,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
618,38,"Perambalur","Tamil Nadu","TN","Perambalur",564511,1752,323,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
